Data;Direttrice;Partenza;Arrivo;NumeroTreniProgrammati;NumeroTreniCircolanti;NumeroTreniAnnullati;NumeroTreniInritardo;PercentualeTreniCircolanti;PercentualeTreniAnnullati;PercentualeTreniInritardo ;IndiceRegolarita;RisarcUtenti;note
2013-03;Nord;PARIS NORD;DUNKERQUE;127;121;6;13;0,952755906;0,047244094;0,102362205;0,897637795;0;
2013-03;Nord;DUNKERQUE;PARIS NORD;88;81;7;6;0,920454545;0,079545455;0,068181818;0,931818182;0;
2013-03;Sud-Est;MARSEILLE ST CHARLES;PARIS LYON;478;477;1;34;0,99790795;0,00209205;0,071129707;0,928870293;0;La journͩe du 12 mars a ͩtͩ tr��s perturbͩe par les intempͩries (neige et pluies verglassantes) entrainant de nombreux et importants retards avoisinants les 2 heures.
2013-03;Sud-Est;LYON PART DIEU;PARIS LYON;628;625;3;32;0,99522293;0,00477707;0,050955414;0,949044586;0;La journͩe du 12 mars a ͩtͩ tr��s perturbͩe par les intempͩries (neige et pluies verglassantes) entrainant de nombreux et importants retards avoisinants les 2 heures.
2013-03;Atlantique;PARIS MONTPARNASSE;RENNES;554;554;0;47;1;0;0,084837545;0,915162455;0;Incident sur la catͩnaire en raison de l'ͩpisode neigeux (accumulation de givre sur le fil d'alimentation), panne d'un train de travaux sur la ligne �_ grande vitesse.
2013-03;Sud-Est;PARIS LYON;PERPIGNAN;159;159;0;20;1;0;0,125786164;0,874213836;0;La journͩe du 12 mars a ͩtͩ tr��s perturbͩe par les intempͩries (neige et pluies verglassantes) entrainant de nombreux et importants retards avoisinants les 2 heures.
2013-03;Est;NANCY;PARIS EST;295;294;1;28;0,996610169;0,003389831;0,094915254;0,905084746;0;Les intempͩries (neige) du 12, 13 et 14 mars ont entrainͩ de nombreux et importants retards.
2013-03;Atlantique;QUIMPER;PARIS MONTPARNASSE;132;132;0;13;1;0;0,098484848;0,901515152;0;
2013-03;Atlantique;LYON PART DIEU;RENNES;30;30;0;1;1;0;0,033333333;0,966666667;0;
2013-03;Sud-Est;NICE VILLE;PARIS LYON;156;154;2;23;0,987179487;0,012820513;0,147435897;0,852564103;0;
2013-03;Sud-Est;PARIS LYON;MACON LOCHE;219;219;0;21;1;0;0,095890411;0,904109589;0;
2013-03;Est;PARIS EST;REIMS;216;216;0;27;1;0;0,125;0,875;0;
2013-04;Atlantique;PARIS MONTPARNASSE;BORDEAUX ST JEAN;626;626;0;41;1;0;0,065495208;0,934504792;0;Probl��me matͩriel d'un train en ligne gͩnͩrant du retard pour les trains �_ sa suite le 10 avril. Prͩsomption d'avarie sur le fil d'alimentation ͩlectrique (catͩnaire) pr��s de Bordeaux le 14 avril. Accident de personne �_ Poitiers le 15 avril. Intervention pompier sur le TGV 8503 suite �_ malaise grave d'un voyageur �_ bord le 24 avril.
2013-04;Sud-Est;BESANCON FRANCHE COMTE TGV;PARIS LYON;219;219;0;16;1;0;0,073059361;0,926940639;0;
2013-04;Sud-Est;PARIS LYON;BESANCON FRANCHE COMTE TGV;237;237;0;22;1;0;0,092827004;0,907172996;0;
2013-04;Sud-Est;PARIS LYON;VALENCE ALIXAN TGV;253;253;0;27;1;0;0,106719368;0,893280632;0;
2013-04;Nord;ARRAS;PARIS NORD;331;329;2;42;0,993957704;0,006042296;0,126888218;0,873111782;0;
2014-11;Atlantique;ANGERS SAINT LAUD;PARIS MONTPARNASSE;448;448;0;21;1;0;0,046875;0,953125;0;
2014-11;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;199;199;0;27;1;0;0,135678392;0,864321608;0;
2014-11;Sud-Est;PARIS LYON;BELLEGARDE (AIN);234;234;0;26;1;0;0,111111111;0,888888889;0;
2014-11;Atlantique;BREST;PARIS MONTPARNASSE;177;177;0;6;1;0;0,033898305;0,966101695;0;
2014-10;Sud-Est;TOULON;PARIS LYON;256;255;1;43;0,99609375;0,00390625;0,16796875;0,83203125;1;
2014-11;Nord;LYON PART DIEU;LILLE;237;237;0;47;1;0;0,198312236;0,801687764;1;
2014-11;Est;PARIS EST;STRASBOURG;425;425;0;15;1;0;0,035294118;0,964705882;0;
2014-11;Nord;DOUAI;PARIS NORD;192;192;0;39;1;0;0,203125;0,796875;1;
2014-11;Est;PARIS EST;REIMS;213;213;0;14;1;0;0,0657277;0,9342723;0;
2014-12;Atlantique;PARIS MONTPARNASSE;BORDEAUX ST JEAN;656;655;1;55;0,99847561;0,00152439;0,083841463;0,916158537;0;
2014-12;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;230;230;0;34;1;0;0,147826087;0,852173913;0;
2014-12;Sud-Est;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;21;21;0;0;1;0;0;1;0;
2014-12;Sud-Est;PARIS LYON;BELLEGARDE (AIN);252;252;0;27;1;0;0,107142857;0,892857143;0;
2014-12;Sud-Est;PARIS LYON;MULHOUSE VILLE;312;310;2;15;0,993589744;0,006410256;0,048076923;0,951923077;0;
2014-12;Sud-Est;MULHOUSE VILLE;PARIS LYON;320;320;0;17;1;0;0,053125;0,946875;0;
2014-12;Sud-Est;PARIS LYON;LYON PART DIEU;631;631;0;18;1;0;0,028526149;0,971473851;0;
2014-12;Sud-Est;PARIS LYON;DIJON VILLE;494;492;2;15;0,995951417;0,004048583;0,030364372;0,969635628;0;
2014-12;Est;PARIS EST;STRASBOURG;441;441;0;32;1;0;0,072562358;0,927437642;0;
2014-12;Est;NANTES;STRASBOURG;43;43;0;3;1;0;0,069767442;0,930232558;0;
2015-01;Sud-Est;BELLEGARDE (AIN);PARIS LYON;158;156;2;17;0,987341772;0,012658228;0,107594937;0,892405063;0;Sur la ligne �_ grande vitesse, 3 collisions avec des animaux sauvages et 1 accident de personne ont perturbͩ la rͩgualritͩ de cette relation en janvier 2015
2015-01;Sud-Est;MARSEILLE ST CHARLES;PARIS LYON;411;410;1;30;0,99756691;0,00243309;0,072992701;0,927007299;0;
2015-01;Atlantique;LE MANS;PARIS MONTPARNASSE;422;422;0;56;1;0;0,132701422;0,867298578;0;
2015-01;Sud-Est;MULHOUSE VILLE;PARIS LYON;261;259;2;21;0,992337165;0,007662835;0,08045977;0,91954023;0;
2015-01;Sud-Est;MACON LOCHE;PARIS LYON;187;187;0;17;1;0;0,090909091;0,909090909;0;
2015-01;Sud-Est;GRENOBLE;PARIS LYON;228;223;5;16;0,978070175;0,021929825;0,070175439;0,929824561;0;
2015-01;Nord;LILLE;PARIS NORD;574;573;1;86;0,99825784;0,00174216;0,149825784;0,850174216;0;
2015-01;Nord;ARRAS;PARIS NORD;322;322;0;51;1;0;0,158385093;0,841614907;1;
2015-03;Atlantique;PARIS MONTPARNASSE;QUIMPER;173;172;1;12;0,994219653;0,005780347;0,069364162;0,930635838;0;"Cette OD a ͩtͩ touchͩe par les ͩvͩnements suivants:  un heurt de chevreuil sur la ligne grande vitesse le 2 (28 TGV; de 13' �_ 58'), 2 accidents de personne �_ Vannes le 6 (6 TGV; de 13' �_ 1h51) et �_ Cesson le 26 (11 TGV; 12' �_ 2h24'), un feu de traverses �_ l'entrͩe de Paris Montparnasse le 14 (6 TGV; 12' �_ 33'), un incendie aux abords des voies vers Laval le 23  (7 TGV; 22' �_ 2h05) ainsi que la divagation d'un chien sur la ligne grande vitesse �_ St Arnoult le 31 (13 TGV; de 12' �_ 36'). On compte par ailleurs 4 dͩrangements d'installations sur la ligne grande vitesse les 1, 2, 16 et 23 touchant jusqu'�_ 7 trains par jour avec des retards allant de 12' �_ 1h05 et un incident catͩnaire le 22 vers Redon (9 TGV; de 12' �_ 80')."
2011-09;Sud-Est;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;216;216;0;27;1;0;0,125;0,875;0;
2011-09;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;167;167;0;20;1;0;0,119760479;0,880239521;0;
2011-09;Sud-Est;DIJON VILLE;PARIS LYON;417;417;0;28;1;0;0,067146283;0,932853717;0;
2011-09;Sud-Est;GRENOBLE;PARIS LYON;240;239;1;23;0,995833333;0,004166667;0,095833333;0,904166667;0;
2011-09;Nord;PARIS NORD;DUNKERQUE;171;171;0;18;1;0;0,105263158;0,894736842;0;
2012-01;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;266;264;2;33;0,992481203;0,007518797;0,12406015;0,87593985;0;
2011-12;Atlantique;PARIS MONTPARNASSE;BORDEAUX ST JEAN;662;662;0;36;1;0;0,054380665;0,945619335;0;
2011-12;Sud-Est;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;118;118;0;12;1;0;0,101694915;0,898305085;0;
2011-12;Sud-Est;PARIS LYON;VALENCE ALIXAN TGV;247;247;0;18;1;0;0,072874494;0,927125506;0;
2011-12;Atlantique;RENNES;PARIS MONTPARNASSE;561;560;1;62;0,998217469;0,001782531;0,110516934;0,889483066;0;
2011-12;Atlantique;PARIS MONTPARNASSE;VANNES;191;191;0;13;1;0;0,068062827;0,931937173;0;
2011-12;Atlantique;TOURS;PARIS MONTPARNASSE;199;199;0;34;1;0;0,170854271;0,829145729;1;
2012-01;Sud-Est;DIJON VILLE;PARIS LYON;470;470;0;37;1;0;0,078723404;0,921276596;0;
